loop_tag,pv_mean,pv_std,sp_coverage,oi_zc,oscillation_period_s,oi_reg,period_std_s,p_osc,tv_op_abs,tv_op_norm,op_sat_frac,op_direction_changes,op_direction_change_rate,mae,rmse,bias,iae_norm,sp_std,sp_mean,op_mv_bias,op_mv_mae,op_mv_corr,tv_mv_op_ratio,mv_is_valve_position,window,window_start_h,window_end_h,sp_rescaled,oi_reg_raw,oi_reg_plot,diagnosis_flags
FIC11,-0.034998,0.088527,1.000000,0.073145,3599.646750,5.742399,193.114965,23.564980,111.421422,0.018768,0.013656,7060,0.504754,0.032099,0.040158,-0.000386,0.362590,0.087603,-0.034611,0.001127,0.019668,0.960151,0.714412,True,1,0.000000,8.000000,False,5.742399,5.742399,"regular_oscillation, slightly_attenuated_mv"
FIC11,-0.143689,0.091813,1.000000,0.073788,3599.646750,20.049895,62.392192,23.137246,109.615877,0.019179,0.016301,7053,0.504254,0.030446,0.038579,-0.000158,0.331609,0.089975,-0.143532,-0.003665,0.018607,0.966954,0.704059,True,2,8.000000,16.000000,False,20.049895,20.000000,"regular_oscillation, slightly_attenuated_mv"
FIC11,-0.052967,0.094528,1.000000,0.070070,3599.646750,13.617580,87.780933,24.928231,110.546210,0.017063,0.018160,7077,0.505970,0.030739,0.038659,-0.000618,0.325181,0.092914,-0.052349,0.000994,0.018823,0.973163,0.715664,True,3,16.000000,24.000000,False,13.617580,13.617580,"regular_oscillation, slightly_attenuated_mv"
FIC11,0.050650,0.091748,1.000000,0.082869,3599.646750,2.757365,406.966441,19.844460,114.165567,0.016019,0.019661,7005,0.500822,0.031749,0.040151,0.000109,0.346043,0.088692,0.050541,0.005774,0.021645,0.962398,0.753667,True,4,24.000000,32.000000,False,2.757365,2.757365,"regular_oscillation, slightly_attenuated_mv"
FIC11,-0.144119,0.113247,1.000000,0.071071,3199.686000,10.715117,102.335039,23.817282,107.831729,0.013735,0.022521,6954,0.497176,0.031150,0.039482,0.000357,0.275063,0.113036,-0.144476,-0.000315,0.018287,0.984699,0.696345,True,5,32.000000,40.000000,False,10.715117,10.715117,"regular_oscillation, slightly_attenuated_mv"
FIC11,-0.008192,0.098513,1.000000,0.072215,3599.646750,3.853735,281.079425,27.851307,109.380839,0.015774,0.017302,7063,0.504969,0.032742,0.040750,0.001479,0.332364,0.098114,-0.009671,0.005568,0.019430,0.974402,0.723064,True,6,40.000000,48.000000,False,3.853735,3.853735,"regular_oscillation, slightly_attenuated_mv"
FIC11,0.107152,0.149044,1.000000,0.048692,3599.646750,2.747044,402.749032,22.644243,117.151553,0.011614,0.016730,7230,0.516909,0.033886,0.042885,-0.001981,0.227352,0.146596,0.109133,0.011040,0.022712,0.987721,0.689741,True,7,48.000000,56.000000,False,2.747044,2.747044,"regular_oscillation, slightly_attenuated_mv"
FIC12,0.101523,0.052797,1.000000,0.090305,3599.646750,2.768697,372.703173,14.490502,112.716459,0.018114,0.012869,7162,0.512047,0.023300,0.032437,-0.001040,0.441320,0.049685,0.102563,0.170172,0.170363,0.905013,0.679518,True,1,0.000000,8.000000,False,2.768697,2.768697,"regular_oscillation, slightly_attenuated_mv, op_mv_offset"
FIC12,0.018422,0.053564,1.000000,0.071929,3599.646750,2.392273,422.693304,13.567584,92.667619,0.013190,0.015157,7179,0.513262,0.018922,0.024213,0.001094,0.353263,0.051224,0.017328,0.137045,0.137045,0.971956,0.770955,True,2,8.000000,16.000000,False,2.392273,2.392273,"regular_oscillation, slightly_attenuated_mv, op_mv_offset"
FIC12,-0.062711,0.062332,1.000000,0.052195,3599.646750,0.692187,1380.227425,12.810698,87.067090,0.012847,0.015085,7113,0.508544,0.026491,0.033614,0.001038,0.424996,0.057147,-0.063749,0.102184,0.102397,0.834450,0.843423,True,3,16.000000,24.000000,False,0.692187,0.692187,op_mv_offset
