loop_tag,mean_oi_zc,max_oi_zc,mean_oi_reg,max_oi_reg,max_oi_reg_raw,mean_p_osc,mean_iae_norm,max_abs_bias,bias_std,mean_sp_std,mean_tv_op_norm,mean_op_mv_mae,mean_tv_mv_ratio
FIC11,0.070300,0.082900,8.490500,20.000000,20.049900,23.684000,0.314300,0.002000,0.001000,0.102400,0.016000,0.019900,0.713900
FIC12,0.061500,0.090300,1.582900,2.807600,2.807600,18.081400,0.417300,0.002000,0.001500,0.066400,0.013000,0.118700,0.812100
FIC24,0.110900,0.184000,5.886800,20.000000,30.411800,30.959400,0.491900,0.004100,0.002300,0.079100,0.013300,0.008700,0.879500
FIC28,0.011100,0.023200,4.031700,10.720300,10.720300,59.297800,0.094200,0.000400,0.000200,0.100400,0.005400,0.018800,0.557000
FIC29,0.070700,0.128800,,,,11.179400,1.316200,0.087800,0.008700,0.083400,0.006200,0.012400,1.582900
FIC30,0.045500,0.061100,8.467900,20.000000,55593000000000.007812,50.622900,0.570000,0.002000,0.001200,0.067200,0.005200,0.048100,4.840900
FIC38,0.040600,0.055800,3.749100,3.749100,3.749100,32.655100,0.903500,0.104100,0.047100,0.131900,0.007700,0.030100,0.388400
LIC42,0.004200,0.005100,12.511700,20.000000,27.204800,67.617900,1.369300,0.259300,0.088400,0.000000,0.003100,0.039500,12.299800
LIC43,0.001100,0.003400,0.632200,0.729800,0.729800,27.017300,0.009700,0.000100,0.000100,0.078100,0.013500,0.005800,0.831700
PIC47,0.029200,0.037600,1.248000,1.248000,1.248000,30.736100,0.988500,0.080700,0.001800,0.000000,0.004500,0.125700,1.516900
TIC52,0.001700,0.002800,1.974800,3.783900,3.783900,55.341500,0.704900,0.040100,0.019500,0.005300,0.001100,0.001200,0.934600
